EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,Attrition,YearsAtCompany,YearsInCurrentRole,Education,EducationField,MaritalStatus,OverTime,DistanceFromHome,BusinessTravel,HireDate
E1015,29,Male,IT,System Administrator,6028,Yes,4,0,5,Medical,Single,No,17,Non-Travel,2021-09-12
E1016,35,Female,Sales,Sales Executive,5536,Yes,3,1,3,Marketing,Single,No,17,Travel_Frequently,2022-03-16
E1017,39,Female,Sales,Sales Executive,7513,Yes,10,0,2,Marketing,Single,Yes,9,Non-Travel,2015-11-27
E1018,39,Male,Sales,Sales Manager,10689,Yes,17,3,2,Marketing,Married,Yes,18,Travel_Frequently,2015-12-06
E1019,36,Female,Sales,Sales Manager,8390,No,8,1,3,Medical,Divorced,No,5,Travel_Rarely,2017-12-07
E1020,24,Male,Research & Development,Research Scientist,7731,Yes,4,2,1,Marketing,Single,No,29,Travel_Frequently,2021-12-14
E1021,46,Male,Research & Development,Healthcare Representative,6842,Yes,7,2,4,Other,Divorced,No,26,Travel_Frequently,2018-10-11
E1022,44,Male,Finance,Financial Analyst,9191,No,15,14,1,Other,Single,No,8,Travel_Rarely,2015-04-13
E1023,42,Female,IT,IT Manager,12934,No,21,0,1,Life Sciences,Divorced,No,9,Travel_Rarely,2015-06-19
E1024,52,Male,Research & Development,Healthcare Representative,9720,No,12,4,2,Marketing,Married,No,18,Travel_Rarely,2015-04-08
E1025,39,Female,Research & Development,Research Scientist,9494,Yes,13,11,2,Human Resources,Divorced,No,13,Travel_Rarely,2015-07-26
E1026,47,Female,Research & Development,Laboratory Technician,10219,No,14,10,2,Other,Single,No,24,Travel_Rarely,2015-08-15
E1027,35,Female,Research & Development,Research Scientist,8107,Yes,7,2,1,Technical Degree,Married,No,28,Non-Travel,2018-09-23
E1028,51,Female,Human Resources,HR Manager,8207,Yes,7,0,5,Technical Degree,Single,No,23,Travel_Rarely,2018-10-19
E1029,53,Female,Research & Development,Research Director,11135,No,24,23,4,Marketing,Single,No,16,Travel_Frequently,2015-11-10
E1030,60,Male,Finance,Accountant,9142,No,8,1,1,Medical,Single,No,18,Travel_Rarely,2017-05-22
E1031,46,Female,Human Resources,HR Executive,8335,No,10,7,5,Other,Single,No,29,Non-Travel,2015-04-01
E1032,42,Female,Research & Development,Research Scientist,8656,No,12,11,4,Marketing,Divorced,No,1,Travel_Frequently,2015-10-03
E1033,28,Male,Sales,Sales Representative,5866,Yes,6,4,2,Life Sciences,Married,Yes,15,Travel_Rarely,2019-03-05
E1034,37,Female,Research & Development,Research Director,9889,Yes,8,7,1,Other,Single,No,21,Travel_Frequently,2017-11-22
E1035,59,Male,Sales,Sales Executive,8192,Yes,7,7,2,Human Resources,Divorced,Yes,12,Non-Travel,2018-10-30
E1036,39,Male,Finance,Financial Analyst,12282,No,18,18,2,Life Sciences,Divorced,Yes,19,Travel_Frequently,2015-06-09
E1037,56,Male,Research & Development,Research Scientist,8233,No,11,10,4,Technical Degree,Single,No,28,Travel_Rarely,2015-08-08
E1038,29,Female,IT,System Administrator,5554,No,2,2,3,Marketing,Single,No,19,Travel_Frequently,2023-04-09
E1039,49,Female,IT,Data Analyst,8331,No,10,7,3,Marketing,Divorced,No,9,Travel_Frequently,2015-12-20
E1040,25,Male,Sales,Sales Executive,7583,Yes,5,3,1,Life Sciences,Married,No,26,Travel_Rarely,2020-06-07
E1041,43,Female,Research & Development,Healthcare Representative,8739,No,17,13,2,Life Sciences,Divorced,Yes,9,Travel_Rarely,2015-06-26
E1042,32,Male,Research & Development,Laboratory Technician,7268,Yes,11,11,2,Marketing,Single,Yes,12,Travel_Frequently,2015-05-22
E1043,55,Female,Sales,Sales Executive,12529,No,22,15,3,Medical,Single,No,15,Travel_Rarely,2015-11-23
E1044,45,Female,Sales,Sales Executive,5704,No,2,2,1,Medical,Single,No,10,Travel_Rarely,2023-03-12
E1045,34,Female,Research & Development,Healthcare Representative,8455,Yes,7,4,1,Medical,Divorced,Yes,24,Travel_Rarely,2018-05-21
E1046,55,Male,Sales,Sales Executive,5706,Yes,5,3,3,Other,Married,Yes,23,Travel_Rarely,2020-12-31
E1047,57,Male,Finance,Finance Manager,11323,Yes,13,3,3,Human Resources,Divorced,Yes,6,Travel_Frequently,2015-10-06
E1048,39,Female,Research & Development,Research Director,6937,No,8,8,3,Human Resources,Married,Yes,14,Travel_Rarely,2017-04-21
E1049,57,Male,Finance,Finance Manager,13635,No,24,18,3,Medical,Divorced,No,30,Travel_Rarely,2015-05-18
E1050,42,Female,IT,System Administrator,8488,Yes,10,10,4,Human Resources,Single,No,10,Travel_Rarely,2015-07-23
E1051,52,Male,Research & Development,Research Director,9786,No,21,13,4,Life Sciences,Single,No,16,Travel_Rarely,2015-08-25
E1052,27,Male,Research & Development,Research Director,5380,No,3,1,1,Technical Degree,Single,Yes,27,Travel_Frequently,2022-01-03
E1053,52,Female,IT,IT Manager,11449,No,13,3,2,Life Sciences,Married,No,17,Travel_Frequently,2015-08-30
E1054,37,Male,Research & Development,Healthcare Representative,7568,No,9,9,5,Human Resources,Married,No,11,Travel_Rarely,2016-08-03
E1055,56,Female,IT,Data Analyst,10404,No,7,0,2,Technical Degree,Single,No,13,Travel_Rarely,2018-06-06
E1056,48,Male,Research & Development,Research Scientist,8328,No,16,4,3,Human Resources,Divorced,No,9,Travel_Rarely,2015-01-08
E1057,44,Female,Finance,Finance Manager,12183,Yes,20,1,1,Technical Degree,Single,No,8,Travel_Frequently,2015-10-05
E1058,21,Male,Research & Development,Manufacturing Director,4573,No,1,1,5,Other,Single,Yes,14,Travel_Rarely,2024-12-03
E1059,51,Male,IT,Data Analyst,8259,No,7,4,3,Other,Divorced,No,15,Travel_Rarely,2018-05-11
E1060,60,Female,IT,IT Manager,13064,Yes,22,9,5,Marketing,Divorced,Yes,13,Travel_Rarely,2015-08-22
E1061,45,Female,Sales,Sales Manager,4278,No,0,0,2,Human Resources,Married,No,25,Travel_Rarely,2025-03-17
E1062,28,Male,Sales,Sales Manager,4322,Yes,0,0,3,Marketing,Divorced,No,3,Travel_Rarely,2025-07-26
E1063,53,Female,Finance,Accountant,7177,No,5,3,2,Medical,Divorced,No,3,Travel_Frequently,2020-08-23
E1064,20,Female,Research & Development,Research Director,6537,No,0,0,1,Other,Single,No,12,Travel_Rarely,2025-05-13
E1065,34,Male,Research & Development,Healthcare Representative,8701,No,10,4,4,Life Sciences,Single,No,10,Travel_Rarely,2015-05-11
E1066,54,Female,Research & Development,Manufacturing Director,9467,No,18,3,3,Medical,Married,Yes,23,Travel_Rarely,2015-08-01
E1067,43,Female,Sales,Sales Manager,3837,Yes,1,1,2,Other,Divorced,No,3,Travel_Rarely,2024-06-11
E1068,28,Male,Finance,Financial Analyst,5142,Yes,1,0,5,Life Sciences,Married,Yes,29,Non-Travel,2024-03-23
E1069,27,Male,Research & Development,Laboratory Technician,6450,Yes,2,1,4,Human Resources,Single,Yes,5,Travel_Frequently,2023-12-25
E1070,57,Male,Finance,Finance Manager,9808,No,14,9,4,Technical Degree,Married,No,2,Travel_Frequently,2015-04-24
E1071,25,Female,IT,Software Engineer,7558,No,4,0,3,Technical Degree,Divorced,No,23,Travel_Rarely,2021-10-18
E1072,27,Male,Research & Development,Research Scientist,6544,No,6,1,1,Marketing,Married,No,24,Travel_Rarely,2019-05-16
E1073,24,Male,IT,System Administrator,7000,Yes,0,0,5,Life Sciences,Divorced,No,5,Non-Travel,2025-11-14
E1074,42,Female,Human Resources,HR Manager,5228,Yes,1,1,4,Medical,Single,Yes,22,Travel_Rarely,2024-08-06
E1075,56,Male,Sales,Sales Representative,13312,Yes,25,24,3,Marketing,Married,Yes,25,Travel_Rarely,2015-10-15
E1076,24,Male,Research & Development,Research Director,6324,No,0,0,3,Other,Married,No,12,Travel_Frequently,2025-11-15
E1077,29,Male,Sales,Sales Executive,6216,No,9,1,4,Marketing,Single,No,15,Travel_Frequently,2016-12-08
E1078,57,Female,Research & Development,Manufacturing Director,9185,Yes,16,1,3,Medical,Single,Yes,7,Travel_Frequently,2015-06-07
E1079,47,Male,Sales,Sales Representative,8031,No,4,4,4,Life Sciences,Married,No,2,Non-Travel,2021-06-21
E1080,45,Female,Research & Development,Healthcare Representative,7246,No,9,6,3,Life Sciences,Married,No,15,Travel_Frequently,2016-11-05
E1081,25,Female,Research & Development,Healthcare Representative,8424,No,2,0,5,Medical,Married,No,17,Travel_Rarely,2023-07-12
E1082,26,Male,Finance,Financial Analyst,8585,No,2,0,4,Human Resources,Divorced,No,16,Travel_Rarely,2023-09-22
E1083,40,Female,Research & Development,Healthcare Representative,6891,No,4,0,1,Marketing,Divorced,No,19,Travel_Rarely,2021-05-21
E1084,38,Male,Sales,Sales Representative,5316,No,2,2,1,Technical Degree,Divorced,No,24,Travel_Frequently,2023-02-21
E1085,23,Female,Research & Development,Laboratory Technician,5527,Yes,0,0,5,Human Resources,Divorced,No,15,Travel_Rarely,2025-07-09
E1086,58,Male,Research & Development,Manufacturing Director,12718,Yes,25,10,3,Other,Divorced,No,10,Non-Travel,2015-11-28
E1087,29,Female,Research & Development,Healthcare Representative,8879,No,4,3,3,Medical,Divorced,No,26,Travel_Frequently,2021-01-31
E1088,47,Female,IT,Software Engineer,5334,Yes,0,0,4,Medical,Single,No,25,Non-Travel,2025-06-29
E1089,52,Male,Sales,Sales Executive,10432,No,21,4,5,Medical,Divorced,No,25,Travel_Rarely,2015-11-13
E1090,48,Female,Human Resources,HR Executive,10504,No,24,17,2,Marketing,Divorced,No,29,Non-Travel,2015-04-30
E1091,52,Female,Finance,Accountant,9036,Yes,5,4,5,Life Sciences,Divorced,No,12,Travel_Frequently,2020-09-21
E1092,37,Female,Sales,Sales Executive,9081,Yes,16,2,1,Technical Degree,Divorced,No,14,Travel_Rarely,2015-08-12
E1093,40,Male,Research & Development,Research Scientist,9021,Yes,20,4,2,Other,Married,No,27,Travel_Rarely,2015-03-16
E1094,29,Female,Sales,Sales Executive,7457,No,1,0,5,Technical Degree,Single,No,26,Travel_Rarely,2024-08-06
E1095,60,Male,Research & Development,Research Scientist,11654,No,22,13,1,Human Resources,Married,No,22,Travel_Rarely,2015-05-30
E1096,55,Male,Research & Development,Healthcare Representative,9573,Yes,12,10,1,Marketing,Single,Yes,26,Travel_Frequently,2015-01-23
E1097,41,Male,Finance,Finance Manager,6424,Yes,1,1,2,Life Sciences,Divorced,No,6,Travel_Frequently,2024-07-04
E1098,32,Male,Sales,Sales Executive,6109,No,5,4,3,Marketing,Single,No,7,Non-Travel,2020-07-27
E1099,47,Female,Sales,Sales Representative,9573,No,23,10,5,Marketing,Single,No,26,Travel_Frequently,2015-07-17
E1100,54,Female,Research & Development,Laboratory Technician,6673,No,10,1,2,Other,Married,No,14,Travel_Rarely,2015-11-12
E1101,59,Female,IT,IT Manager,9477,No,8,0,2,Life Sciences,Single,No,22,Travel_Frequently,2017-02-09
E1102,24,Male,Research & Development,Laboratory Technician,6003,Yes,2,1,4,Life Sciences,Divorced,No,12,Travel_Rarely,2023-06-30
E1103,35,Male,Research & Development,Manufacturing Director,6506,Yes,0,0,3,Other,Married,Yes,25,Travel_Rarely,2025-09-27
E1104,32,Male,Human Resources,HR Manager,5452,No,2,1,3,Other,Married,No,28,Travel_Frequently,2023-11-25
E1105,30,Male,Sales,Sales Representative,6664,No,5,1,1,Marketing,Divorced,Yes,16,Travel_Rarely,2020-04-16
E1106,24,Female,Sales,Sales Executive,4775,No,3,3,4,Technical Degree,Divorced,No,3,Travel_Rarely,2022-05-01
E1107,31,Male,Research & Development,Healthcare Representative,9353,No,6,6,3,Other,Single,No,6,Travel_Rarely,2019-04-20
E1108,36,Male,IT,Software Engineer,10484,No,8,4,5,Other,Divorced,No,6,Travel_Rarely,2017-10-30
E1109,25,Male,Sales,Sales Executive,6728,Yes,5,2,5,Marketing,Divorced,Yes,29,Non-Travel,2020-03-12
E1110,45,Female,Finance,Finance Manager,9107,No,14,0,5,Medical,Married,No,11,Non-Travel,2015-12-19
E1111,45,Male,IT,IT Manager,14572,No,24,17,2,Medical,Single,Yes,15,Travel_Rarely,2015-09-21
E1112,35,Male,Finance,Accountant,8410,No,10,5,3,Technical Degree,Single,No,16,Travel_Rarely,2015-03-14
E1113,33,Female,Research & Development,Laboratory Technician,4440,No,0,0,4,Marketing,Divorced,No,22,Travel_Rarely,2025-12-06
E1114,43,Female,Sales,Sales Representative,8802,No,11,0,4,Human Resources,Married,Yes,17,Travel_Frequently,2015-07-25
E1115,26,Female,Research & Development,Laboratory Technician,5864,No,2,2,1,Life Sciences,Single,No,17,Travel_Rarely,2023-07-12
E1116,58,Male,Research & Development,Laboratory Technician,8680,No,10,5,5,Marketing,Divorced,No,10,Travel_Frequently,2015-02-24
E1117,50,Male,Human Resources,HR Manager,8135,No,11,1,1,Human Resources,Married,No,23,Travel_Rarely,2015-12-11
E1118,23,Female,IT,Data Analyst,5570,Yes,1,1,2,Life Sciences,Married,No,4,Travel_Rarely,2024-04-07
E1119,52,Female,Human Resources,HR Manager,9852,No,23,4,3,Medical,Married,No,13,Non-Travel,2015-12-28
E1120,59,Female,Research & Development,Manufacturing Director,7502,No,6,2,3,Other,Single,No,25,Travel_Frequently,2019-08-29
E1121,37,Female,Research & Development,Healthcare Representative,8534,No,3,3,1,Marketing,Divorced,No,10,Travel_Rarely,2022-03-14
E1122,50,Male,Human Resources,HR Recruiter,5124,No,6,2,2,Life Sciences,Divorced,No,8,Non-Travel,2019-04-02
E1123,46,Female,Sales,Sales Executive,9816,No,22,21,4,Other,Married,No,6,Travel_Rarely,2015-02-21
E1124,38,Male,IT,IT Manager,5963,No,2,2,2,Life Sciences,Married,Yes,29,Travel_Frequently,2023-02-02
E1125,22,Male,IT,IT Manager,5739,Yes,1,0,4,Medical,Divorced,No,17,Travel_Rarely,2024-03-16
E1126,36,Male,Research & Development,Research Director,5641,No,0,0,4,Technical Degree,Divorced,No,29,Travel_Rarely,2025-07-12
E1127,50,Female,Sales,Sales Executive,6321,No,7,4,3,Human Resources,Divorced,Yes,11,Travel_Rarely,2018-12-30
E1128,23,Male,Research & Development,Laboratory Technician,5297,No,3,1,3,Human Resources,Single,No,10,Travel_Rarely,2022-07-28
E1129,58,Female,Sales,Sales Manager,8231,Yes,13,7,1,Human Resources,Married,No,26,Travel_Rarely,2015-10-09
E1130,23,Male,IT,Software Engineer,6807,Yes,1,1,1,Human Resources,Married,No,16,Travel_Frequently,2024-10-08
E1131,56,Male,Research & Development,Research Director,11118,Yes,17,9,5,Life Sciences,Single,Yes,7,Travel_Rarely,2015-12-11
E1132,24,Female,Research & Development,Research Scientist,7756,Yes,0,0,4,Marketing,Married,No,24,Travel_Rarely,2025-08-07
E1133,28,Female,Research & Development,Healthcare Representative,6428,Yes,1,1,4,Other,Divorced,No,10,Travel_Rarely,2024-10-01
E1134,49,Female,Finance,Financial Analyst,7732,Yes,4,1,1,Medical,Single,No,25,Travel_Rarely,2021-08-13
E1135,35,Male,Research & Development,Research Scientist,9754,No,12,8,5,Marketing,Divorced,No,8,Travel_Rarely,2015-04-30
E1136,53,Male,Sales,Sales Executive,8422,Yes,13,0,4,Human Resources,Married,Yes,12,Travel_Frequently,2015-05-21
E1137,54,Female,Sales,Sales Executive,6294,No,7,4,5,Human Resources,Single,No,14,Travel_Rarely,2018-09-09
E1138,48,Female,Research & Development,Research Scientist,6906,No,2,2,1,Life Sciences,Single,No,20,Travel_Frequently,2023-04-02
E1139,50,Male,Human Resources,HR Executive,6037,Yes,10,0,4,Medical,Divorced,Yes,25,Travel_Frequently,2015-08-01
E1140,38,Female,IT,IT Manager,9511,No,14,5,1,Other,Married,No,15,Travel_Frequently,2015-11-29
E1141,22,Male,Research & Development,Research Director,7181,No,2,0,4,Human Resources,Single,Yes,8,Travel_Rarely,2023-10-19
E1142,51,Female,Research & Development,Research Director,5554,No,5,1,1,Human Resources,Single,No,21,Travel_Frequently,2020-07-05
E1143,46,Male,Sales,Sales Executive,8527,No,20,4,5,Technical Degree,Divorced,No,20,Travel_Rarely,2015-02-04
E1144,21,Female,Research & Development,Research Scientist,5701,Yes,1,1,2,Human Resources,Divorced,No,8,Travel_Rarely,2024-12-23
E1145,43,Female,Finance,Financial Analyst,10063,No,14,11,1,Life Sciences,Married,No,21,Travel_Rarely,2015-05-05
E1146,30,Male,Sales,Sales Executive,5554,No,7,5,5,Technical Degree,Married,No,23,Travel_Rarely,2018-05-25
E1147,31,Female,IT,Software Engineer,6914,Yes,0,0,2,Human Resources,Married,Yes,19,Travel_Frequently,2025-09-16
E1148,25,Female,Research & Development,Laboratory Technician,5336,Yes,0,0,5,Human Resources,Married,No,25,Non-Travel,2025-11-11
E1149,51,Male,Research & Development,Research Director,7381,No,11,6,2,Other,Single,No,26,Travel_Rarely,2015-07-12
E1150,29,Female,Human Resources,HR Recruiter,5715,No,5,0,3,Life Sciences,Single,No,25,Travel_Rarely,2020-07-01
E1151,46,Male,Research & Development,Healthcare Representative,7191,Yes,0,0,4,Life Sciences,Married,No,28,Travel_Rarely,2025-11-16
E1152,35,Male,Human Resources,HR Recruiter,6015,No,12,4,3,Technical Degree,Married,Yes,14,Travel_Rarely,2015-03-13
E1153,60,Female,Sales,Sales Executive,10013,No,19,14,5,Technical Degree,Married,No,11,Travel_Rarely,2015-04-11
E1154,39,Female,IT,Data Analyst,10598,No,19,15,4,Human Resources,Single,No,10,Travel_Rarely,2015-04-13
E1155,56,Male,Research & Development,Research Scientist,11759,Yes,18,17,3,Other,Single,Yes,26,Travel_Frequently,2015-04-03
E1156,60,Female,Human Resources,HR Executive,8219,No,7,2,5,Technical Degree,Divorced,No,16,Travel_Rarely,2018-08-26
E1157,43,Male,Research & Development,Research Scientist,5153,Yes,3,2,4,Marketing,Married,No,21,Travel_Rarely,2022-08-27
E1158,53,Male,Sales,Sales Manager,9990,Yes,14,7,4,Life Sciences,Single,No,10,Travel_Frequently,2015-07-20
E1159,49,Male,Research & Development,Manufacturing Director,11478,No,16,15,3,Life Sciences,Divorced,No,3,Travel_Rarely,2015-06-28
E1160,35,Male,Research & Development,Laboratory Technician,5369,No,5,4,2,Other,Divorced,No,6,Travel_Rarely,2020-07-16
E1161,48,Female,Research & Development,Laboratory Technician,8335,No,12,3,5,Life Sciences,Divorced,No,3,Travel_Rarely,2015-12-27
E1162,51,Female,Research & Development,Manufacturing Director,9298,No,19,12,3,Human Resources,Divorced,No,6,Travel_Rarely,2015-11-09
E1163,27,Male,Sales,Sales Representative,8514,No,5,1,2,Technical Degree,Divorced,No,14,Travel_Rarely,2020-01-12
E1164,55,Male,IT,Data Analyst,12397,No,15,5,4,Medical,Single,No,1,Travel_Frequently,2015-03-13
E1165,46,Female,Research & Development,Research Director,8432,Yes,13,7,3,Life Sciences,Married,No,8,Travel_Rarely,2015-08-16
E1166,51,Male,Finance,Finance Manager,11877,No,18,17,4,Life Sciences,Divorced,No,7,Travel_Frequently,2015-05-18
E1167,48,Female,Sales,Sales Executive,6820,No,11,1,5,Other,Married,No,12,Travel_Rarely,2015-08-13
E1168,23,Female,Sales,Sales Executive,4555,No,2,2,3,Human Resources,Divorced,Yes,19,Travel_Frequently,2023-03-02
E1169,37,Male,Finance,Financial Analyst,6996,No,4,1,2,Human Resources,Divorced,No,16,Travel_Rarely,2021-08-27
E1170,45,Female,Research & Development,Research Scientist,12982,Yes,22,15,4,Other,Divorced,No,3,Travel_Frequently,2015-08-21
E1171,33,Female,Finance,Accountant,7738,No,13,4,4,Marketing,Divorced,No,19,Travel_Frequently,2015-09-11
E1172,21,Male,Research & Development,Research Director,7820,Yes,0,0,2,Other,Married,No,23,Travel_Rarely,2025-05-20
E1173,36,Male,Sales,Sales Representative,6639,Yes,11,2,2,Technical Degree,Divorced,No,25,Travel_Rarely,2015-11-29
E1174,28,Male,Sales,Sales Executive,6437,Yes,8,7,4,Other,Single,No,28,Travel_Rarely,2017-01-19
E1175,26,Female,Sales,Sales Executive,4672,No,2,0,5,Human Resources,Single,No,3,Travel_Frequently,2023-08-01
E1176,60,Male,Research & Development,Laboratory Technician,9008,Yes,13,7,5,Other,Married,Yes,4,Travel_Rarely,2015-12-18
E1177,37,Male,Finance,Financial Analyst,9727,No,7,4,4,Marketing,Divorced,No,7,Travel_Rarely,2018-03-25
E1178,35,Female,Research & Development,Research Scientist,7624,No,2,0,4,Marketing,Divorced,No,19,Travel_Frequently,2023-04-06
E1179,21,Male,IT,Software Engineer,7842,Yes,0,0,5,Marketing,Divorced,No,13,Travel_Frequently,2025-08-19
E1180,25,Male,Research & Development,Research Director,7161,No,2,1,4,Human Resources,Divorced,Yes,11,Travel_Frequently,2023-11-20
E1181,47,Male,Research & Development,Manufacturing Director,7123,Yes,1,0,2,Life Sciences,Single,No,10,Travel_Frequently,2024-08-28
E1182,53,Female,Sales,Sales Representative,7667,No,5,1,4,Marketing,Divorced,Yes,26,Travel_Rarely,2020-06-25
E1183,49,Female,Research & Development,Research Director,4430,Yes,1,0,1,Medical,Divorced,Yes,19,Travel_Rarely,2024-04-20
E1184,43,Female,Sales,Sales Representative,4989,No,4,0,3,Marketing,Single,No,24,Travel_Rarely,2021-10-02
E1185,31,Male,Human Resources,HR Executive,6211,No,8,6,3,Life Sciences,Divorced,No,10,Travel_Rarely,2017-12-10
E1186,59,Male,Sales,Sales Representative,9840,Yes,14,7,2,Human Resources,Married,No,1,Travel_Frequently,2015-10-30
E1187,44,Female,IT,Software Engineer,9125,No,3,1,3,Life Sciences,Single,No,5,Non-Travel,2022-09-18
E1188,49,Male,Research & Development,Manufacturing Director,9790,No,18,4,2,Medical,Married,Yes,22,Travel_Rarely,2015-09-16
E1189,40,Female,Human Resources,HR Recruiter,7865,Yes,14,1,1,Medical,Married,No,5,Travel_Rarely,2015-04-30
E1190,48,Female,Research & Development,Laboratory Technician,8516,No,14,1,2,Marketing,Single,No,2,Travel_Rarely,2015-03-03
E1191,39,Female,Research & Development,Research Scientist,8448,Yes,5,3,2,Life Sciences,Single,Yes,26,Travel_Rarely,2020-12-17
E1192,43,Male,Sales,Sales Representative,11859,No,18,2,2,Life Sciences,Married,No,26,Travel_Rarely,2015-05-13
E1193,47,Female,Sales,Sales Manager,9777,Yes,15,13,4,Medical,Single,Yes,9,Travel_Frequently,2015-07-15
E1194,46,Female,Research & Development,Research Director,6476,Yes,1,1,5,Medical,Divorced,No,26,Non-Travel,2024-11-17
E1195,50,Female,IT,IT Manager,9382,No,11,5,1,Marketing,Single,No,8,Travel_Frequently,2015-09-15
E1196,34,Male,Research & Development,Healthcare Representative,6676,No,1,0,4,Marketing,Single,No,19,Travel_Rarely,2024-08-27
E1197,42,Male,Finance,Finance Manager,10169,Yes,22,18,5,Marketing,Single,No,16,Travel_Rarely,2015-06-30
E1198,21,Female,Sales,Sales Executive,6386,Yes,0,0,3,Life Sciences,Single,Yes,26,Travel_Rarely,2025-07-15
E1199,43,Male,Finance,Finance Manager,7763,No,11,6,4,Other,Married,Yes,6,Travel_Frequently,2015-12-06
E1200,34,Male,IT,IT Manager,8667,Yes,6,5,5,Technical Degree,Divorced,Yes,23,Travel_Rarely,2019-07-29
E1201,60,Male,IT,Data Analyst,12081,Yes,15,2,1,Other,Divorced,Yes,29,Travel_Frequently,2015-06-19
E1202,33,Male,Research & Development,Manufacturing Director,8188,No,11,4,2,Technical Degree,Married,No,14,Non-Travel,2015-06-29
E1203,56,Male,Research & Development,Research Director,5909,No,5,0,1,Marketing,Single,Yes,4,Non-Travel,2020-05-15
E1204,41,Female,Sales,Sales Executive,7291,No,0,0,2,Technical Degree,Divorced,Yes,7,Travel_Rarely,2025-05-25
E1205,39,Male,Research & Development,Manufacturing Director,5567,Yes,3,3,3,Other,Divorced,Yes,3,Travel_Frequently,2022-12-07
E1206,60,Female,Sales,Sales Executive,5519,No,2,0,1,Other,Divorced,No,9,Travel_Rarely,2023-05-04
E1207,22,Female,Research & Development,Research Director,6467,Yes,1,1,1,Life Sciences,Divorced,Yes,23,Travel_Rarely,2024-05-07
E1208,55,Male,IT,Data Analyst,10978,No,12,8,1,Human Resources,Divorced,Yes,29,Non-Travel,2015-08-03
E1209,29,Male,Human Resources,HR Recruiter,6887,Yes,7,2,4,Medical,Divorced,No,22,Travel_Rarely,2018-10-06
E1210,25,Female,Research & Development,Research Scientist,5460,No,4,4,5,Human Resources,Divorced,No,1,Travel_Frequently,2021-06-12
E1211,57,Male,Sales,Sales Manager,4955,No,3,0,4,Human Resources,Divorced,Yes,21,Travel_Rarely,2022-03-19
E1212,58,Female,Research & Development,Healthcare Representative,5491,Yes,1,1,3,Life Sciences,Married,No,29,Travel_Frequently,2024-06-12
E1213,26,Male,Sales,Sales Representative,5417,No,1,1,2,Technical Degree,Single,No,3,Non-Travel,2024-07-31
E1214,43,Male,Research & Development,Healthcare Representative,8822,Yes,16,9,1,Medical,Single,No,19,Non-Travel,2015-02-03
E1215,23,Female,Sales,Sales Representative,4477,No,1,1,2,Marketing,Married,Yes,1,Travel_Rarely,2024-08-13
E1216,42,Male,Research & Development,Manufacturing Director,6846,Yes,8,1,2,Medical,Divorced,Yes,19,Travel_Rarely,2017-01-15
E1217,21,Male,Human Resources,HR Recruiter,4830,Yes,1,0,3,Technical Degree,Married,No,10,Non-Travel,2024-10-25
E1218,53,Female,Sales,Sales Representative,9134,No,18,16,3,Marketing,Divorced,Yes,3,Travel_Rarely,2015-01-04
E1219,39,Male,Human Resources,HR Recruiter,4762,No,4,1,1,Other,Married,No,24,Non-Travel,2021-04-12
E1220,57,Male,Research & Development,Research Scientist,7024,No,10,10,5,Medical,Married,No,27,Travel_Rarely,2015-09-12
E1221,31,Female,Sales,Sales Manager,7899,Yes,10,3,3,Marketing,Married,No,26,Travel_Rarely,2015-11-19
